s1,s2,s3,s4,s5,s6,내용
"처음부터 정책이 소통된다는 의식 개선, 수직적인 조직 분위기에서는 정책소통플랫폼은 단시간내 정착되기 어려울 것으로 판단",사실상 많은 사람들이 도정 정책에 관심이 없다. 자칫하면 도정 정책에 먼저 선점한 사람들이 혜택을 다 가져갈 수 있다. 많은 사람들이 참여를 하여 의견을 제시하는 것이 중요하다. ,.,형식적으로 내용적인 면에서 더 공감하는 성과면담이 되어야 함,-,당시의 분위기나 어떠한 외압에 의해 흔들리지 않는 기준이 있었으면 한다. 누구는 반년도 안되 자리를 옮기고(밀어내기?) 또 어떤이는 소위 말하는 선호부서·보직만 골라서 가고.. 새로운 업무파악 등에 에너지 소비를 줄이고 민원인이나 시군에서도 불편을 덜 느끼는 행정을 할수 있게 배려를 부탁,.
외압과 강제적지시 없이 소신껏 일할수 있는 환경,성과에 따른 과감한 인센티브 부여,.,업무에 대한 이해가 선행되어야 함,성과근평 제도 절차를 간략히 하였으면 좋겠습니다,근무한 곳에 계속 전보·전보·보직하는 사례 지양,선호부서·보직에서 근무연공서열이 있는 직원들이 한번 근무해본 경험으로 그런 자리로 계속 돌고있음. 여타부서에 근무하는 직원들은 선호부서·보직에서 근무할수있는 기회조차 없음. 여러직원들의 다양하게 경험해본다면 경직된 정책에서 벗어나 다양한 정책이 나올수있음 
민간인과 협업할 수 있는 소통력 강화,도민이 정책에 참여하기 위한 인센티브 부여 방안 검토 필요,.,특정 직렬의 일방적인 근평 좋게 주기 없애고 헙리적이고 객관적인 근평 요구와 인원수 비례한 직렬참여 요구,없음,"임기제는 전문적인 지식을 보유한 민간 전문가를 채용하여 도정에 기여하게 하는 것으로, 임기제 직원을 통한 민간 업무 노하우를 공무원에게 전파할 수있도록 효율적으로 운영되었으면 함",투명 재고를 위한 근평 공개 및 이의신청이 자유로워져야함.
"성공사례에 관한 내용 공유, 담당자 자율로 운영할수 있는 권한, 성과에 대한 독촉 지양",음,.,직렬별로 나누어 성과관리를 하였으면 함,특별한 사항없음,개인의 장단점과 역량을 파악한 적소적재적재 전보·전보·보직이 필요함,객관적이고 공정·공평 인사.
플랫폼 참여에 대한 당위성 교육훈련 및 근평에 반영,"도민에게 정책을 쉽게 설명하고 이해하게 할 수 있는
중간조직 설립 및 지속적인 홍보 추진",.,성과 면담은 실시하고 있으나 성과면담을 통해 성과관리와 성과목표 달성과 직접적인 연계가 되고 있는지 의문이다.,전보의견 수렴 공개,일부 직원의 편중된 전보 · 전보·전보·보직으로 다수의 소외감 ,-
본연의 업무부터 철저히 하면 새로운 정책에 대해 자유로운 의견개진의 장 조성 필요,도청 홈페이지 활성화 및 최신자료 업데이트 필요,.,성과면담을 자유롭게 할 수 있는 조직분위기 조성," 성과관리를 별도로 하지 말고, 근평을 하면서 성과와 추진내용을 같이 정리하면서 제출하는게 중복업무 방지에 도움이 될것임.","여직원들의 서부청사 근무시 전보제한2년 준수(전보제한2년2년). 남자들만 전보제한2년2년 꼬빡 채우고 창원청사로 복귀하고 있음.
여성평등, 성평등에 어긋남. .",적절한 인사 적소적재적재 전보·전보·보직 부탁드립니다 
정확한 목표와 목적 제시,갑질근절,.,성과관리 업무 자체가 업무량을 가중시키는 것은 바람직하지 않음,.,"ㅇ 공급자 중심의 전보, 전보·전보·보직",없음
"(교육훈련) 제시되는 의견의 긍정적 검토 필요성
(지원) 업무량 증가에 따른 인원 증원과 인센티브 제공",.,.,.,조직 유지 관리를 위한 기본업무와 현안 관련 스포트라이트 받는 신규업무 수행과 관련된 성과관리 시 차별이 없도록 하는 것도 중요함,근평의 현성과인 기준 필요,없음
플랫폼에 대한 최신 트렌드 관련 교육훈련이 필요,조직문화 개선,.,.,11,"전보·전보·보직이 관리되어
위에 직급으로 승진을 해도 예전에 근무했던 부서로 감
사업부서에서 근무했던 사람은 계속 사업부서에 근무하고
지원부서에 근무했던 사람은 계속 지원부서에 근무함으로써 서로간 업무에 대한 이해부족 및 다양한 행정경험 부족","열씨미 일하는 직원에게 보다 나은 인사반영되어야함.
기피·기피·격무부서인 경우 더욱더 많은 근평을 주어야함.
국단위 과서열로 근평을 부여하는 것은 아주 타당하지않고, 직원들의 사기를 떨어뜨리는 행위임.
어디 부서든 가서 열씨미 일하고, 성과를 내면 좋은 근평을 받을 수 있어 자연스럽게 그 자리에서 열씨미 할 수 있는 문화가 되어야함. "
"도민에 대한 소통도 중요하지만 
직원들간의 정책소통도 중요함",.,.,.,"성과관리라는 이름이 또 다른 부가업무가 되지 않았으면...
",인사인사교류 : 부처간 상호 인사교류가 아니라 너무 많은 도청인원을 중앙부처에 갖다 바치는 식의 인사교류 재검토 필요,"현재 국 주무과·주무과·주무계 주무과·주무계 위주로 근평이 이루어지는 바 연공서열 등 그동안의 노력도 헛되이 되지 않도록 직원전보·전보·보직시 고려하여 실시
연공서열 차이가 많이 나는 직원을 주무과·주무계에 전보·전보·보직하여 근평을 어지럽히는 일이 발생하지 않았으면 함"
제안 사항은 무조건 긍정적으로 검토하는 자세,.,.,.,"특정 직렬의 일방적인 근평 좋게 주기 없애고 헙리적이고 객관적인 근평 요구, 직렬 구분 근평실시로 합리적이고 객관적 근평으로 불이익 해소","전보 시 직원의 역량을 파악하여 적소적재에 전보·전보·보직할 수 있는 방안이 필요.
(적성, 전공, 그간 전보·전보·보직 등에 따라 직원이 어는 업무에 전보·전보·보직할 지 파악 필요, 직원 역량 결과가 달라질 수 있을 것으로 판단됨)",인사관련 모든 (전보. 근무평성정. 인사이동) 업무 공개 
없음,일회성 정책이 아닌...현성과로 가능하고 지속적인 정책관리가 필요함,.,.,없습니다,-," 동계휴가외 분기별 휴가제도 운영 건의, 

 평상시에 개인에게 5일 연가쓰라고 하면 실제로 쓰기가 어려워

 분기별 휴가제도 운영으로 자연스럽게 분기별 휴가를 사용하는 조직문화 조성하여

 하절기 집중되는 휴가로 인한 행정공백 보완 필요, 하급직원은 가고싶은 날짜에 휴가가기 어려움"
"플랫폼에 거론되는 의견으로 인해 업무가 너무 늘어나버리면 직원들이 너무 힘들어질 것 같습니다. 
취지는 좋지만 적당히 업무화 될 수 있도록 과정이나 추진에 있어 신중을 기해 주셨으면 합니다. 
플랫폼으로 인한 부정적 효과들이 최소화 된다면 크게 직원들에게 교육훈련과 지원은 필요없을 듯합니다. 
(이미 직원들은 업무를 어떻게 처리해야 될지 알고 있으니까요...)","도민이 체감하는 성과관리를 위해서는 업무에 대한 체계적 홍보가 매우 중요함.
",.,.,성과관리 자체가 가중한 업무가 되지 않도록 제도를 개선하기를 바람,당연한 이유임,.
정책소통플랫폼이 뭔지 정확하게 모르겠음. ,없음,.,.,.,...,없음
. ,"자신에게 부과된 일상적 업무를 처리하는 데 급급해서 도민과의 소통 등의 진행과정을 생각해 보지 못할 가능성이 많습니다.
정책 결정 과정에 도민과의 소통을 의무화한다면 성과는 높게 나타날 수 있을 것이라 생각합니다.
다만, 도민 역시 각자의 이익집단들이 포함되어 있기 때문에 그들의 이익충돌로 인해서 선의의 정책이 결정되지 못하거나 의도하지 못한 방향으로 흘러갈 가능성도 높기 때문에 이러한 부분을 제어할 방안도 고민해 볼 필요가 있습니다. ",.,.,.,"객관적이고 투명 승진제도와 근평기준이 이루어질 수 있는 제도가 필요할 것 같습니다. 모든 직원이 근평의 기준, 가산점과 가점에 대한 범위 확대를 통해서 성과에 상응하는 근평을 받고 있다는 생각을 가질 수 있었으면 합니다. ",인사이동시 전문성을 고려하여 인사이동
"플랫폼의 명확한 목적과 활용 범위, 성과 연계 등에 대한 교육훈련과 지원이 필요합니다.","정책 전반에 걸친 참여 (수요파악, 진행과정, 성과공유 등)",.,.,.,"직원에게 다양한 기회를 주는것이 중요한데 사업부서, 지원부서 간의 불균형이 심하여 직원이 업무를 다양하게 할 수 있고 역량을 발휘할 수있는 전보·보직이 필요하다고 생각됨","성과급 선정 위원회 개최시 특정 직렬(직렬)의 과도한 인원 제한하고 다양한 직렬과 인원 비례하여 함께 참여할수 있도록 제도적의 보완 필요,
직렬 구분 근평실시로 합리적이고 객관적 근평으로 불이익 해소"
"다양한 정책들을 도민에게 알리려면 홍보가 중요함. 홍보를 전담할 직원을 구성하여 바뀌는 정책들을 홍보하고 실시간으로 소통할 수 있는 플랫폼이 필요.
전담직원 구성하여 홍보교육훈련 및 플랫폼 구성 예산 일괄 확보 필요",.,.,.,.,없음,없습니다
힐링을 만끽할 수 있는 교육훈련,도민이 체감하는 성과는 말그래로 도민이 관심을 가져야 성과를 인식할수있음. 도민이 관심을 가질수있는 정책과 홍보가 필요,.,.,.,직렬없는 무한경쟁과 철저한 성과위주 근평과 인사반영임,"아직도  여직원이여서, 나이가 어려서 남자직원보다 더 분리한 근평을 받은 경우가 있으므로 인맥이나 인맥, 나이나 성별에 대한 근평 순위의 조정은 지향되어야 할것이라고 제안하고 싶다.  "
"플랫폼의 성공적 정착은 다양한 의견들을 빠르게 대응하는데 있음(고성군 밴드의 경우 공무원이 불편해소 양방향 소통 유지)
사업부서인 경우 정책소통플랫폼은 민원창구로 대변될 수 있으므로 답변은 반드시 사무관이나 부서장이 해댜함
그렇지 않으면 직원님들이 일과중 많은 시간은 밴드등 플랫폼을 관리해야하기 때문이며
또한 담당계장이나 부서장이 답변하게되면 융합적인 소통이 될수 있음
따라서 플랫폼 만들것이면 직원님들에게 교육훈련, 지원 이런것하지 말고 실질적인 도움이 되도록 고민하는게 우선임",-,.,.,.,근평만은 제발 순서대로가 아니라 일한만큼 성과를 낸만큼 합시다 ,.
한명의 담당자가 플랫폼을 끌고가면서 입력과 관리할것이 아니라 구성원 모두가 플랫폼 내에서의 관리자 역할을 해야 활성화 될듯합니다,쉽게 접할수 있는 홍보,.,.,.,#NAME?,.
#NAME?,-,.,.,.,연공서열이 아닌 실제 성과를 낸 직원에게 높은 근평이 부여되어야 함,.
"직원에게 인센티브 부여, 관리자는 지시 위주 연공서열 탈피",정책을 많이 홍보해주었으면 좋겠다,.,.,.,"일반행정직 중심 교육훈련훈련 운영이 되는 것 같음, 
실제 기술연구지도직의 교육훈련훈련이 더 필요함.",.
유연한 판단과 과감한 결정을 위한 조직문화 정착과 간부 교육훈련 ,없음,.,.,.,직렬에 맞는 전보·전보·보직으로 인한 부서 업무의 전문성에 기여,.
"정책소통플랫폼을 운영하기 위해선 부서 업무를 잘 알고 있는 직원이 담당하여 각 부서원에게 전파 및 상세내용을 전달해 줄 수 있다고 생각합니다.
그러나 이 업무를 과서무에게 맡긴다면 서무라는 명목하에 많은 업무를 감당하고 있는 현재 상황으로썬 이 업무를 전담으로 할 수 잇는 직원 전보·전보·보직이 필요하다고 생각합니다.",없음,.,.,.,"직원들이 교육훈련훈련에 대한 필요성에 크게 공감하지 못함. 교육훈련을 단순히 쉬는 기간으로 생각하거나, 각종 사이버 강의 등도 승진을 위한 상시학습 성과 채우기 위한 수단일 뿐 실질적인 교육훈련훈련을 통한 직원의 역량개발을 기대하기 힘든 구조이며, 6개월 이상의 장기교육훈련은 그 기회도 한정적임",.
"- 소통플랫폼 운영의 필요성에 대한 공감이 우선되어야 할 것으로 보이며, 새로운 업무부담이 수반되기 때문에 모범적으로 운영되는 부서(직원)에게는 성과에 대한 인센티브(업무추진비 등)가 부여되야 할 것으로 보임",필요한 시간대에 필요한 지식습득을 위한 전문가 풀의 다양화,.,.,.,일부 임기제 책임감 부족,.
업무량 감소,"도민이 체감하는 도정을 하는 것인 경남도청 공무원으로써 당연한 책무입니다.
하지만 공무원이기 이전에 일반 직장인과 동일하기도 합니다.
우선 아이디어를 낼수 있는 적절한 공간의 전보·전보·보직이 필요하며, 딱딱한 조직문화도 개선되어야 할 것이고,
좋은 아이디어 낼 직원에게는 많은 인센티브를 부여하여야 합니다.
공무원이 수동적일 수 밖에 없는 이유중에 하나가 인센티브의 부족입니다.
좋은 정책을 많이 낼 수 있는 분위기를 위하여 우선 인센티브를 강력하게 부여해주십시오",.,.,.,아직까지도 역량 중심의 인사가 되고 있지 않다,.
플랫폼의 접근성이 높아야 되고 이러한 어려운 부분이 없도록 설계해서 교육훈련을 해야 함,해당없음,.,.,.,가장 직접적으로 실감할 수 있는 부분이기 때문에,.
트렌드 관련 교육훈련," 부서의 자율성을 확대하고, 부서에서 생산적인 정책을 만들어 낼수 있는 업무환경 조성이 선행되어야 하겠음.",.,.,.,"임기제 임용 되는 절차가 투명하게 진행되는지, 꼭 필요한 인력인지 궁금합니다.",.
사이버교육훈련보다 대면교육훈련이 더 필요할 것 같습니다.,.,.,.,.,"전보·보직인사와 관련해서..  근평 관리가 좋거나 일이 다소 쉬운 자리로 가고 싶어 하는 직원도 있겠지만, 조직의 긍정적 발전을 위해서는 하고 싶은 사람이 그 일을 하는 것 또한 중요하다고 봅니다.. 즉, 희망전보전보·보직을 우선시 해서 그 일을 책임감 있게 맡겨 보는 조직문화도 중요하다고 생각되어 희망전보전보·보직에 대한 전보전보·전보·보직 제도 개선이 필요하다고 봅니다. ",.
"정책 고객과의 소통이 중요하다는 인식은 되어 있지만, 구체적인 대상 확정과 방식에 대한 이해가 부족하다고 생각.. 모범적 사례에 대한 지속적 공유와 가능한 시나리오 등을 공유해서 직원들의 발상 전환 및 착안 컨셈을 공유하면 좋을 듯 합니다. ",없음,.,.,.,"전보, 근평 등 명확한 기준이 없다고 생각합니다.",.
정책소통플랫폼 사전 홍보 필요,11,.,.,.,"많이 개선되었긴 하지만 연공서열대로 승진하는 경우가 대부분이므로,
업무에 태만하는 경우가 아직 발생하고 있다.",.
취지와 필요성에 대해서 명확하게 알려주는 교육훈련이 필요할 것같습니다.,인적자원과 물적자원의 보충,.,.,.,공평하게 이루어지기 어려운 부분이므로,.
수직적업무구조 탈피,도정을 알릴 수 있는 스시템 개발,.,.,.,전보 시 특정인원이 선호부서·보직에 계속 머무르는 경향이 있는 것 같음,.
직원들이 참여할 수 있도록 홍보수단 마련,행정업무 간소화,.,.,.,서부청사를 없애기가 힘들다면 순환전보·보직을 할수있는 부서를 서부청사에 두면 된다고봅니다.,.
.,도민의 체감 성과는 경제정책과 밀접한 연관이 있을 것으로 판단됩니다. 경기 부양 정책에 대한 관심도를 공략하는것이 가장 중요하다고 판단됨 ,.,.,.,"전보,전보·전보·보직에 대한 구체적인 기준 마련",.
실국별 소통 등 전문부서 필요,도민도 중요하지만 직원들의 사기진작을 위한 방안이 먼저 필요함.,.,.,.,조직의 적체해소와 순환전보·보직으로 인사활력을 줄수 있음,.
부서단위 직원 교육훈련,.,.,.,.,"성과급 결정할 때 소수 직렬을 다수 직렬과 함께 묶어서 근평하는 건 잘못된 방법이라고 생각합니다. 직렬별로(일반직, 연구직 등)나눠서 하지 않으면 기술직렬은 피해를 볼 수 밖에 없습니다. ",.
정책 수요자들과 직원들 간의 소통의 기회가 많이 필요할 거 같습니다. 공청회같은 딱딱하고 다가가기 어려운 느낌이 아닌 쉽게 다가갈 수 있는 방법을 개발하면 좋겠습니다. SNS활용도 좋으나 개인적으로 참여율이 높지 않을 거 같아 문제일 거 같습니다. ,.,.,.,.,없음.,.
없음,.,.,.,.,"공무원 생활을 오래해도 승진이 어려운 부서가 있슴,, 승진자리도 별로 없음.",.
시간적 여유와 알기 쉽고 이용이 쉬운 플랫폼 필요,.,.,.,.,객관적 자료를 바탕으로 한 근평 필요,.
연간 1시간 이상의 집합교육훈련 필요,.,.,.,.,"개인에 대한 근평이 '업무'가 아닌 그 개인이 속한 '부서'로 근평이 이루어지는 경향이 있다 생각하며, 그와는 별개로 소위 선호부서·보직이라 불리는 부서에는 한 번 근무한 사람이 다시 가는 현상이 문제임. 누구에게나 근무할 기회는 공평하게 부여되어야 한다고 생각함.(인사부서에 한 번 간 사람은 다시 못가게 하는 장치가 필요)",.
플랫폼 구성 과정에의 직원들의 참여,.,.,.,.,"업무난이도 및 과중도에 대한 정확한 측정장치도 없이 임의로 주무 부서나 계에 있다고 근평을 잘받는 시스템은 개선이 필요함.
부서장의 주관적인 근평에 의해서만 점수를 매긴다는 것도 개선이 필요함.",.
적극적인 홍보정책 필요,.,.,.,.,#NAME?,.
#NAME?,.,.,.,.,일부 선호부서·보직전보·전보·보직에 특정인들이 반복적으로 전보·전보·보직되어 직원들에게 공정·공평 기회가 제공되지 않고 그에 따른 근평 반영으로 공정·공평 경쟁을 위한 환경이 이루어지지 않고 있음.,.
"플랫폼 운영의 필요성 교육훈련, 지속적인 관리가 가능할 수 있도록 사용의 편의성",.,.,.,.,임기제 채용을 검토할 때 이 자리가 정말 필요한 자리인지 생각해 주셨으면 좋겠습니다.,.
화합하고 소통하는 분위기 형성,.,.,.,.,"근평에 대한 명확하고 분명한 기준 부재
인사권자의 재량권이 큼
",.
"인터넷을 이용한 정책소통플랫폼은 참여 연공서열대가 제한적이고 특정인에게 방향성이 맞춰질 수 있음.
현재도 도에서 운영중인 여러 플랫폼이 있으나 도민의 참여가 제대로 이루어지지 않고있음. 
인터넷의 여러가지 채널을 만드는 것 보다 온. 오프라인. 전화설문조사 등 전계층의 의견을 전체적으로 조사할 수 있는 방법이 필요함...
또한 직원에게 플랫폼 정착을 위한 여러 교육훈련을 시키기보다 직원들이 자발적으로 관심을 가지고 임할 수 있는 환경을 만들어주는 것이 필요함
지금의 상태에서 플랫폼을 구성하고 직원에게 교육훈련까지 시키는 것은 업무만 늘어나는 것임",.,.,.,.,4. 교육훈련훈련 관련 좀 더 실무에 가깝고 효율적인 교육훈련이 도입되었으면 좋겠음.,.
도민이 실질적으로 원하는 것을 파악하기 위한 현장 직접체험 및 그에 따른 교육훈련 등이 필요한 것 같음.,.,.,.,.,"수직적 근평은 조직의 유연성을 해침, 다원근평 필요",.
"조직구조 개선 및 부서간 협업, 수평적인 조직문화",.,.,.,.,무슨 기준으로 어떻게 선발되고 역할이 무엇인지 명확해야 함,.
만들어진 정책에 대한 정확하고 객관적인 근평 필요,.,.,.,.,이미 비싼 월급 받고있는 기존 공무원들의 역량개발 및 활용이 우선적이며 공정하다고 생각하여 개방형직위에 대해서 좋은 점을 모르겠음,.
#NAME?,.,.,.,.,근평이 합리적으로 될수있도록 개선이 필요,.
플랫폼 이용 방법 등 담당자를 위합 업무 매뉴얼 작성 및 안내,.,.,.,.,#NAME?,.
유연한 사고가 가능하도록 조직문화 개선,.,.,.,.,"직원이 가고 싶은자리, 근평이 잘 나오는 자리,  직급 승진의 한계(고시, 여성)- 연공서열이 적은 사람이 일찍 승진하는 경우 인사적채 발생.",.
"다양한 의사전달 역량 교육훈련 필요, 독서 및 영화 관람 지원",.,.,.,.,"동일 업무를 5년이상 담당하고 있는 사례 발생(앞 부서에서 동일업무 2~3년 후, 조직개편으로 타과 이동으로 2~3년 같은 업무 담당)",.
정책소통 플랫폼을 전문으로 관리할 전문가(담당자) 필요,.,.,.,.,임기제 임용제도- 기본적으로 임기제는 직업공무원에 비해 책임성을 담보하기 어려운 구조임,.
적극행정 면책,.,.,.,.,.,.
개인별 맞춤형 교육훈련,.,.,.,.,희망전보전보에 맞춤이 필요함,.
"정책소통 및 알림을 위한 밴드, 블로그 SNS의 올바른 활용법 및 사용 꿀팀 교육훈련 ",.,.,.,.,같은 업무 성과와 같은 업무 기간에도 불구하고 입사 순서에 따른 승진시기의 차이 발생 (풀린 군번과 꼬인 군번으로 표현되는 승진제도) ,.
.,.,.,.,.,.,.
.,.,.,.,.,"교육훈련훈련으로 인한 교육훈련이 형식적으로 시간 채우기에 급급할 뿐,
실질적으로 도움이 된다고 생각되지 않음.",.
플랫폼 구축에 따른 본인이 직접 시행하고 있는 정책 및 사업을 신속하게 알릴 수 있는 방안(기법) 필요,.,.,.,.,"임기제 직원의 전문성 활용도가 다소 떨어지는 점으로, 임기제 직원 채용과정에서 보다 명확한 임무 부여 및 계획서 제출이 필요할 것으로 사료됨",.
간부회의 등 정책결정과정을 청내방송을 통해 공개,.,.,.,.,"승진제도와 관련하여 직렬을 너무 세분화하여 근속이 비슷한 다른 직력은 직급하는데
때에 따라 일부 직렬은 자리가 없어서 진급이 안되는 불균형 해소 필요. 비슷하게 나눠가져야 한다.
공직생활 20년 이상 성실히 했다면 어떤 부서에서 든 중간관리자가 될 수 있을 것으로 보인다.
""같이 가면 멀리가고 혼자가면 빨리간다."" 경남도정은 영원 불멸하게 지속되어야 하기 때문이다.",.
정책의 확실한 이해와 성과에 따른 인센티브 지원,.,.,.,., 대부분 연공서열순으로 성과 결정 ,.
^^,.,.,.,.,^^,.
"정책고객과의 소통방법, 플랫폼 제작, 적극적인 참여 방안 등",.,.,.,.,"ㅇ 본청과 사업소의 업무 밀도는 다를 수 있으나, 개별 업무에 대한 성과와 달성도를 단순 비교하기는 한계가 있음.
  - 현재는 본청 위주의 승진 인사를 하고 있어, 승진 인사에 있어서 사업소 직원들은 상대적으로 뒤쳐지는 경향이 있음.
  - 본청 위주가 아닌 사업소 근무자 중 성과 창출 직원에 대한 승진 기회 부여 방안도 논의가 필요함.
ㅇ 일반임기제(전문 및 시간선택제 제외)의 경우, 5년 또는 계약기간(1~전보제한2년2년) 종료 시, 신분의 불안감 상존
  - 특히 일반임기제 연구사의 경우, 연구 업무의 연속성 유지 차원에서 5년 고용 후, 5년간 재고용 시에는 법령에 정해진 바와 같이
    공고 및 인사위원회 의결을 생략하여 근무기간을 연장해 주는 제도 적극 활용이 필요함.",.
정책소통에 관한 교육훈련 횟수를 늘려야 한다고 생각합니다. ,.,.,.,.,전보 및 전보·전보·보직은 투명하고 공정하게 실시되어야 한다고 생각합니다. ,.
전문가 초빙을 통한 교육훈련,.,.,.,.,"혹 어떤직원은 우리가 말하는 힘든부서 및 담당에 전보·전보·보직되면 인사과에 찾아가서 전보를 희망전보하고 또 다른부서로 이동합니다
하지만 많은 일반직원들은 인사를 받아들이고 또 열심히 일을 합니다 그리고 또 힘든부서로 전보·전보·보직됩니다..",.
"소통플랫폼 관련 영상,편집 등 기술적 부분 교육훈련",.,.,.,.,인사인사교류의 폭을 좀 더 넓히는 것에 찬성합니다.,.
"정책고객에 대한 교육훈련 및 협업시스템, 기존 업무추진과는 다른점(어렵고 느리고 힘이 듦)을 설득하고 쉽게 업무추진할 수 있는 방향 제시",.,.,.,.,"전공, 전보·보직 안되고 인사계 출신은 인사파트로 기획계 출신은 정책기획관실로 전보 전보·보직문제 발생",.
"플랫폼구축와 운영에 대한 노하우 교육훈련, 정보통신분야 스마트기기 운영 교육훈련",.,.,.,.,"휴직을 하였음에도, 승진시 근평에 전혀 영향을 받지 않는것은 휴직을 한번도 사용하지 않은 자에게는 부당한 제도입니다. 평생 공무원생활하면서 개인 가정사, 건강문제, 출산육아 등의 문제는 누구에게나 일어나는 일입니다. 그럼에도 휴직을 하는 사람과 하지않는 사람이 있는데 휴직을 하는 사람에 대한 관용이 너무 많이 베풀어지고 있습니다. 아울러 소수 기술직력의 경우 연공서열에 따른 연공서열대로 승진하는것은 열심히 일하는 직원의 사기를 저하시킵니다.",.
"주요 사업에 한하여 정책소통플랫폼을 작성 운영 해야 한다는 직무교육훈련, 전산교육훈련 실시 필요",.,.,.,.,"소수 직렬의 경우 갈 수 있는 부서가 제한적이라, 직원.상사간 고충 발생시 조직 생활이 어렵기 때문에 복수직 확대를 통해 부서간 이동확대 필요

소수 직렬의 경우 매년 승진 요인이 발생되지 않아, 승진시기를 예측하기 어렵고, 직렬간 승진 편차가 많이 나, 승진이 늦으진 직원은 조직 생활하기 힒듬",.
"밴드, 블로그 등 실제로 운영 할 수있는 교육훈련이 필용.",.,.,.,.,임기제를 늘리기 보다는 공무원의 임용을 통한 전문적인 인재 육성,.
정책소통 플랫폼의 필요성,.,.,.,.,인사인사교류 제도를 다변화 하여 타 분야나 타 기관의 좋은 역량을 학습하여 조직에 접목함으로써 우리 조직 발전 도모,.
"간단한 답변으로 끝낼 것을 국민신문고 답변처럼 형식적인 틀과 문구를 사용하여야 하는데 따른 시간낭비와 결재라인이 
신속한 소통을 방해한다고 생각합니다. ",.,.,.,.,노조게시판에 불만사항이 많은 항목입니다.,.
1,.,.,.,.,1,.
플랫폼 게시물 작성을 위한 출장 및 추가금 지급,.,.,.,.,적절한 인사전보·전보·보직,.
"정책소통플랫폼 의미가 너무 어렵습니다. 누구가 쉽게 다가갈 수 있도록 활용하게 만들어야 합니다. 교육훈련은 실제 현장에 맞는 교육훈련이 필요하고 포상, 가점, 해외여행 등 체감하는 인센티브가 있어야 할 것 같습니다.",.,.,.,.,.,.
직원복지 향상과 성과 상여금 인상 등 실제적인 보상이 필요함,.,.,.,.,임기제 없애 주세요. 낙하산 인사나 마찬가지 아닌가요 .,.
#NAME?,.,.,.,.,직렬별 승진 소요연수 차이해소 필요,.
딱딱하고 연공서열적인 상하복명 업무처리가 아닌 실무자와 수요자의 의견이 적극 반영될 수 있도록 인식 개선 교육훈련이 필요,.,.,.,.,각 개인별 성향과 역량에 맞는 전보·보직발령이 필요,.
인재개발원 등 집합교육훈련,.,.,.,.,"승진에 모든 직원들이 관심이 제일 많고, 근평, 전보 등은 승진을 위한 과정으로 이해하는 사람이 많음 ",.
"구성원들의 관심사항 파악, 적시 정보제공 등",.,.,.,.,임기제 구체적 업무 성과 명확화 필요,.
"플랫폼의 의견은 도민 일부의 생각일 뿐인데 그걸 반드시 정책화시킨다던지 하는 것은 조금 위험한 생각인 것 같음
현재 업무에서 추가되는 느낌이 들기때문에 가능한한 지금 있는 제도를 변형해서 활용하는 것이 좋다고 생각함",.,.,.,.,"머리수를 채워주는 인사가 아니고 직원 개개인의 역량을 파악해서 고루 섞어줄 수 있는 전보·전보·보직이 필요함
개인적인 역량이 부족한 경우도 품고 가야하는 것이 우리 조직인데 사업부서에만 신규직원이나 전환직, 장애인, 또는 기피 직원들을 보내는 경우가 많아서 업무추진에 애로가 많음",.
플랫폼 활용을 위한 교육훈련,.,.,.,.,개인이 다양한 분야에서 경험을 쌓는것이 필요하다고 생각하나 현 전보 시스템은 빈자리에 직원들을 넣는 시스템이라고 생각함,.
정책홍보 영상 등을 상시 시청하고 관심있는 사람은 의견도 제시할 수 있는 방안 마련이 되어야 함,.,.,.,.,"전보·전보·보직은 기준은 있으나 예외 적용되는 경우도 있다.
예외가 적용되어야 하는 경우에는 적용조건를 모든사람이 공감할 수 있도록 사전 공개하여 신청 받을 필요가 있음",.
"도민에게 직접 다가가는 플랫폼인만큼 도민들이 어떠한 것을 원하는지 구체적인 정보 공유와
다양한 컨텐츠 제공을 위한 기본적인 플랫폼 활용 역량",.,.,.,.,잘은 모르지만 전보·전보·보직은 흔히들 인맥이라고 합니다. 투명하게 진행되었으면 좋겠습니다.,.
SNS를 통한 부서업무 적극알림 및 민원처리 기능 강화,.,.,.,.,직원들의 역량은 천차만별이지만 대부분 어느정도 수준은 된다고 봄. 어떤 직원은 이 부분이 약하지만 다른 부분이 장점일 수 있음. 인사관리에서 연공서열이 중요한건 아니지만 지나치게 차이가 나지 않는다면 이것도 무시하면 안됨.,.
논술. 토론 중심의 교육훈련,.,.,.,.,승진. 전보시에 예측이 가능하도록 하는 인사 시스템 운영이 필요함. 인사라인 교체에 따라 인사방법이 변화되어서는 안됨.,.
sns이용 교육훈련,.,.,.,.,"직렬제한 및 직렬에 맞는 업무 분장
",.
정책소통을 위한 적절한 소통플랫폼 구축,.,.,.,.,깊이있는 정책을 위해서 교육훈련(인사인사교류)이 필요함 ,.
정책소통플랫폼에 대한 정확하게 이해할수 있는 교육훈련이 필요합니다.,.,.,.,.,성과를 정확히 근평하기 어려운 근평제도를 개선해야 한다고생각합니다.,.
제대로 일하기 위한 인력 지원 필요,.,.,.,.,연공서열 위주 근평과 임기제 공무원과 직원과 업무 차별(위하감 조성),.
정책소통플랫폼 운영 필요성에 대한 공감,.,.,.,.,빈번한 전보로 인한 전문성 부족,.
